slang,normalisasi
mantafff,mantap
mantaffff,mantap
mantapks,mantap
mantapp,mantap
mantappp,mantap
mantapppp,mantap
mantappppp,mantap
mantapppppp,mantap
mantapppppppppppp,mantap
mantapppss,mantap
mantaps,mantap
mantav,mantap
mantb,mantap
mantchaaap,mantap
manteb,mantap
mantef,mantap
manteo,mantap
mantep,mantap
manteppp,mantap
manteps,mantap
mantoel,mantap
mantul2,mantul-mantul
mantull,mantul
mantulll,mantul
mantullll,mantul
mantuuulllll,mantul
mao,mau
mapp,map
marah2,marah-marah
masaa,masa
masaaaaa,masa
masi,masih
mask,masa
maslaah,masalah
masukanya,masukannya
masukkan,masukan
masuuk,masuk
matab,mantap
mati2,mati-mati
maw,mau
mawu,mau
maxxx,maxim
mdh,mudah
mebayar,membayar
mebela,membela
mecemana,gimana
mehong,mahal
memabantu,membantu
membalkan,membatalkan
membantuu,membantu
membatalakan,membatalkan
membatu,membantu
membntu,membantu
membtlkn,membatalkan
memdimg,mending
mempantau,memantau
memuaskn,memuaskan
memudahkn,memudahkan
mencari2,mencari-cari
mengecewakannn,mengecewakan
mengeluhhh,mengeluh
mengguakan,menggunakan
menggunakam,menggunakan
menggunkan,menggunakan
menghabis2kan,menghabis-habiskan
mengjukan,mengajukan
mengunkn,menggunakan
meniit,menit
mennt,menanti
mentang2,mentang-mentang
menuh2,menuh-menuh
meressse,meres
merrkq,mereka
mesikuo,meskipun
mf,maaf
mga,semoga
mgkin,mungkin
mgkn,mungkin
mh,mah
mhn,mohon
mibyak,minyak
milih2,milih-milih
minkirin,mikirin
minnn,min
minta2,minta-minta
minuss,minus
misl,misal
mitra2,mitra-mitra
mitraaa,mitra
mjd,menjadi
mkan,makan
mkin,makin
mkn,makan
mknan,makanan
mknanan,makanan
mknn,makanan
mks,makasih
mksa,maksa
mksh,makasih
mksih,makasih
mlah,malah
mlenceng,melenceng
mles,males
mlh,malah
mlm,malam
mls,malas
mlu,mulu
mmbantu,membantu
mmbntu,membantu
mmg,memang
mmh,mamah
mmudahkan,memudahkan
mn2,mana-mana
mna,mana
mnding,mending
mndpari,mendapati
mndpati,mendapati
mndpt,mendapat
mnemukn,menemukan
mnit,menit
mnja,manja
mnjadi,menjadi
mnjengkelkan,menjengkelkan
mnjmn,menjamin
mnt,minta
mnta,minta
mntap,mantap
mntep,mantap
mntng2,mentang-mentang
mntp,mantap
mntull,mantul
mnyiapkan,menyiapkan
mo,mau
mobilx,mobilnya
moga,semoga
mreka,mereka
mrk,mereka
mrnggunakan,menggunakan
mrsa,merasa
msa,masa
msak,masa
msen,pesan
msh,masih
msih,masih
mslh,masalah
msti,mesti
msuk,masuk
mtappp,mantap
mter,meter
mtor,motor
mtr,motor
muahal,mahal
muantapppp,mantap
muantapzz,mantap
muanteep,mantap
muantuul,mantul
mucul,muncul
muda2,muda-muda
mudah2an,mudah-mudahan
mudha,mudah
mulu,terus
mulussss,mulus
muluu,mulu
muncul2,muncul-muncul
muraaahhhh,murah
murahhh,murah
mureehhh,murah
mutar2,muter-muter
muteer,muter
muter2,muter-muter
muterrr,muter
mw,mau
mwmbantu,membantu
myambung2,nyambung-nyambung
n,dan
naek,naik
nagih2,nagih-nagih
nais,nice
nambung,nabung
nanggung2,nanggung-nanggung
napa,kenapa
napasi,kenapa sih
natik,narik
nd,nggak
nda,nggak
ndak,nggak
ndda,nggak
ndk,nggak
nelpn,nelpon
nembak2,nembak-nembak
nga,nggak
ngak,nggak
ngancam2,ngancam-ngancam
ngantaranya,ngantarnya
ngapa,kenapa
ngasi,ngasih
ngasii,ngasih
ngbil,ngambil
ngebabtu,ngebantu
ngeluhh,ngeluh
ngeri2,ngeri-ngeri
ngg,nggak
ngga,nggak
nggga,nggak
nggk,nggak
ngjebak,ngejebak
ngk,nggak
ngnter,nganter
ngoder,ngorder
ngomel2,ngomel-ngomel
